Name	Formula	SMILES	Mass	Source	ID
2-Methyl-1-propylamine	C4H11N	CC(C)CN	73.089149357	HMDB	HMDB0034198
N'-Hydroxyethanimidamide	C2H6N2O	CC(N)=NO	74.048012821	HMDB	HMDB0243752
O-Methylisourea	C2H6N2O	COC(N)=N	74.048012821	HMDB	HMDB0255861
glycinamide	C2H6N2O	NCC(N)=O	74.048012824	HMDB	HMDB0062472
Aminoguanidine	CH6N4	NNC(N)=N	74.059246212	HMDB	HMDB0248318
1,3-DIAMINOPROPANE""""	C3H10N2	C(CN)CN	74.08439831999999	MoNA	CCMSLIB00000577952
1,2-DIAMINOPROPANE	C3H10N2	NCC(C)N	74.08439831999999	MoNA	JP007417
1,2-PROPANEDIAMINE	C3H10N2	NCC(C)N	74.08439831999999	MoNA	JP003995
TRIMETHYLENEDIAMINE	C3H10N2	NCCCN	74.08439831999999	MoNA	JP003994
1,3-Diaminopropane	C3H10N2	NCCCN	74.08439833	HMDB	HMDB0000002
1,2 Diaminopropane	C3H10N2	CC(N)CN	74.08439833	HMDB	HMDB0013136
1,1-Propanediamine	C3H10N2	CCC(N)N	74.08439833	HMDB	HMDB0256812
THIOACETAMIDE	C2H5NS	CC(N)=S	75.01427016	MoNA	JP010796
Glycine; AIF; CE30; MS2Dec	C2H5NO2	O=C(O)CN	75.0320284	MoNA	MoNA019555
Glycine; AIF; CE10; MS2Dec	C2H5NO2	O=C(O)CN	75.0320284	MoNA	MoNA019554
Glycine; AIF; CE0; MS2Dec	C2H5NO2	O=C(O)CN	75.0320284	MoNA	MoNA019553
Gly	C2H5NO2	NCC(O)=O	75.0320284	MoNA	KO002938
glycine-d5	C2H5NO2	O=C(O)CN	75.0320284	MoNA	FiehnLib000951
Glycine	C2H5NO2	NCC(O)=O	75.032028409	HMDB	HMDB0000123
Isopropanolamine	C3H9NO	NC[C@@H](C)O	75.068413908	MoNA	KO003181
R-(-)-1-Amino-2-propanol	C3H9NO	NCC(C)O	75.068413908	MoNA	PR010230
1-AMINO-2-PROPANOL	C3H9NO	NCC(C)O	75.068413908	MoNA	JP005425
3-AMINO-1-PROPANOL	C3H9NO	NCCCO	75.068413908	MoNA	JP001798
2-Methoxyethylamine	C3H9NO	COCCN	75.068413914	HMDB	HMDB0245205
Aminopropanol	C3H9NO	CCC(N)O	75.068413914	HMDB	HMDB0248330
1-Amino-propan-2-ol	C3H9NO	CC(O)CN	75.068413915	HMDB	HMDB0012136
Thiourea	CH4N2S	NC(N)=S	76.009518828	HMDB	HMDB0034155
Cysteamine	C2H7NS	NCCS	77.029919919	HMDB	HMDB0002991
2-Aminoethanethiol	C2H7NS	SCCN	77.029920224	MoNA	FiehnHILIC001628
2-Chloroethylamine	C2H6ClN	NCCCl	79.0188769	HMDB	HMDB0245071
3-Butyn-2-amine, 2-methyl-	C5H9N	CC(C)(N)C#C	83.073499294	HMDB	HMDB0245752
1,4-Diamino-2-butyne	C4H8N2	NCC#CCN	84.068748266	HMDB	HMDB0244206
Cyclopentylamine	C5H11N	NC1CCCC1	85.089149357	HMDB	HMDB0250671
3-Aminoazetidin-2-one	C3H6N2O	NC1CNC1=O	86.048012821	HMDB	HMDB0245813
2-Methylpropanimidamide	C4H10N2	CC(C)C(N)=N	86.08439833	HMDB	HMDB0245237
2-Aminoacrylic acid	C3H5NO2	NC(=C)C(O)=O	87.032028409	HMDB	HMDB0003609
4-Aminobutyraldehyde	C4H9NO	NCCCC=O	87.068413915	HMDB	HMDB0001080
Isoamylamine	C5H13N	NCCC(C)C	87.10479941599999	MoNA	KO003221
ISOPENTYLAMINE	C5H13N	NCCC(C)C	87.10479941599999	MoNA	JP009055
1-PENTYLAMINE	C5H13N	CCCCCN	87.10479941599999	MoNA	JP000234
3-Methyl-1-butylamine	C5H13N	CC(C)CCN	87.104799421	HMDB	HMDB0031659
2-Methylbutylamine	C5H13N	CCC(C)CN	87.104799421	HMDB	HMDB0032392
Amylamine	C5H13N	CCCCCN	87.104799421	HMDB	HMDB0248371
Nitrosoguanidine	CH4N4O	NC(N)=NN=O	88.038510765	HMDB	HMDB0255661
L-alaninamide	C3H8N2O	CC(N)C(N)=O	88.063662886	HMDB	HMDB0253863
1,4-Diaminobutane	C4H12N2	C(CCN)CN	88.10004838399999	MoNA	PT100680
1,4-Butanediamine	C4H12N2	NCCCCN	88.10004838399999	MoNA	KO002427
TETRAMETHYLENEDIAMINE	C4H12N2	NCCCCN	88.10004838399999	MoNA	JP003996
Putrescine	C4H12N2	NCCCCN	88.100048394	HMDB	HMDB0001414
Butane-1,1-diamine	C4H12N2	CCCC(N)N	88.100048394	HMDB	HMDB0247206
N,N-Dimethylethylenediamine	C4H12N2	CN(C)CCN	88.100048394	HMDB	HMDB0255264
Alanine	C3H7NO2	CC(C(=O)O)N	89.047678464	MoNA	PB000387
Alanine; AIF; CE30; MS2Dec	C3H7NO2	O=C(O)C(N)C	89.047678464	MoNA	MoNA019546
Alanine; AIF; CE10; MS2Dec	C3H7NO2	O=C(O)C(N)C	89.047678464	MoNA	MoNA019545
Alanine; AIF; CE0; MS2Dec	C3H7NO2	O=C(O)C(N)C	89.047678464	MoNA	MoNA019544
beta-Alanine; AIF; CE30; MS2Dec	C3H7NO2	O=C(O)CCN	89.047678464	MoNA	MoNA018798
beta-Alanine; AIF; CE10; MS2Dec	C3H7NO2	O=C(O)CCN	89.047678464	MoNA	MoNA018797
beta-Alanine; AIF; CE0; MS2Dec	C3H7NO2	O=C(O)CCN	89.047678464	MoNA	MoNA018796
b-Ala	C3H7NO2	NCCC(O)=O	89.047678464	MoNA	KO002082
L-Ala	C3H7NO2	CC(N)C(O)=O	89.047678464	MoNA	KO002057
D-Ala	C3H7NO2	C[C@@H](N)C(O)=O	89.047678464	MoNA	KO002052
3-Aminopropionic acid	C3H7NO2	NCCC(O)=O	89.047678464	MoNA	KO000039
Methylglycinate	C3H7NO2	O=C(OC)CN	89.047678464	MoNA	FiehnHILIC002097
b-Alanine	C3H7NO2	NCCC(O)=O	89.047678464	MoNA	OUF00497
beta alanine	C3H7NO2	O=C(O)CCN	89.047678464	MoNA	MoNA002547
DL-ALANINE	C3H7NO2	CC(N)C(O)=O	89.047678464	MoNA	JP010310
beta-alanin	C3H7NO2	O=C(O)CCN	89.047678464	MoNA	FiehnLib000038
(2S)-2-Amino-3-hydroxypropanal	C3H7NO2	NC(CO)C=O	89.047678469	HMDB	HMDB0247847
beta-Alanine	C3H7NO2	NCCC(O)=O	89.047678473	HMDB	HMDB0000056
L-Alanine	C3H7NO2	C[C@H](N)C(O)=O	89.047678473	HMDB	HMDB0000161
D-Alanine	C3H7NO2	C[C@@H](N)C(O)=O	89.047678473	HMDB	HMDB0001310
(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein)	C3H7NO2	CC(N)C(O)=O	89.047678473	HMDB	HMDB0062251
Methyl glycinate	C3H7NO2	COC(=O)CN	89.047678473	HMDB	HMDB0254591
Diaminoguanidine	CH7N5	NN(N)C(N)=N	89.070145245	HMDB	HMDB0251137
3-AMINOPROPYL METHYL ETHER	C4H11NO	NCCCOC	89.084063972	MoNA	JP009313
2-ETHOXYETHYLAMINE	C4H11NO	CCOCCN	89.084063972	MoNA	JP008893
2-AMINO-1-BUTANOL	C4H11NO	CCC(N)CO	89.084063972	MoNA	JP001800
2-AMINO-2-METHYLPROPANOL	C4H11NO	OCC(C)(C)N	89.08406397200001	MoNA	JP005412
2-Amino-2-methyl-1-propanol	C4H11NO	CC(C)(N)CO	89.084063978	HMDB	HMDB0244974
2-Aminobutan-1-ol	C4H11NO	CCC(N)CO	89.084063978	HMDB	HMDB0245012
3-Methoxypropylamine	C4H11NO	COCCCN	89.084063978	HMDB	HMDB0245920
4-Amino-1-butanol	C4H11NO	NCCCCO	89.084063978	HMDB	HMDB0246336
Carbamimidothioic acid, methyl ester	C2H6N2S	CSC(N)=N	90.025169375	HMDB	HMDB0257408
Alanine-2,3,3,3-d4	C3H7NO2	[H]C(N)(C(=O)O)C	90.05395521	MoNA	FiehnHILIC001054
Thioacetamide-S-oxide	C2H5NOS	CC(N)=S=O	91.009184959	HMDB	HMDB0258997
Aminohydroxyacetic acid	C2H5NO3	NC(O)C(O)=O	91.026943025	HMDB	HMDB0248320
3-Amino-1,2-propanediol	C3H9NO2	NCC(O)CO	91.063328528	MoNA	KO002137
2-Amino-1,3-propanediol	C3H9NO2	NC(CO)CO	91.063328537	HMDB	HMDB0244971
Chlorguanidin	CH4ClN3	NC(N)=NCl	93.0093748	HMDB	HMDB0250099
2-Aminoethane-1,1,1-triol	C2H7NO3	NCC(O)(O)O	93.042593089	HMDB	HMDB0247334
Methylammonium nitrate	CH6N2O3	CN.O[N+]([O-])=O	94.037842068	T3DB	T3D3570
FURFURYLAMINE	C5H7NO	NCc(c1)occ1	97.052763844	MoNA	JP007325
Cyclohexylamine; LC-tDDA; CE40	C6H13N	NC1CCCCC1	99.104799416	MoNA	MoNA019852
Cyclohexylamine; LC-tDDA; CE30	C6H13N	NC1CCCCC1	99.104799416	MoNA	MoNA019851
Cyclohexylamine; LC-tDDA; CE20	C6H13N	NC1CCCCC1	99.104799416	MoNA	MoNA019849
Cyclohexylamine; LC-tDDA; CE10	C6H13N	NC1CCCCC1	99.104799416	MoNA	MoNA019848
Cyclohexylamine; AIF; CE30; MS2Dec	C6H13N	NC1CCCCC1	99.104799416	MoNA	MoNA019465
Cyclohexylamine; AIF; CE10; MS2Dec	C6H13N	NC1CCCCC1	99.104799416	MoNA	MoNA019464
Cyclohexylamine; AIF; CE0; MS2Dec	C6H13N	NC1CCCCC1	99.104799416	MoNA	MoNA019463
Cyclohexylamine; AIF; CE30; CorrDec	C6H13N	NC1CCCCC1	99.104799416	MoNA	MoNA019462
Cyclohexylamine; AIF; CE10; CorrDec	C6H13N	NC1CCCCC1	99.104799416	MoNA	MoNA019461
Cyclohexylamine; AIF; CE0; CorrDec	C6H13N	NC1CCCCC1	99.104799416	MoNA	MoNA019460
Cyclohexanamine	C6H13N	NC1CCCCC1	99.104799416	MoNA	FiehnHILIC001859
CYCLOHEXYL AMINE	C6H13N	NC(C1)CCCC1	99.104799416	MoNA	JP003880
Cyclohexylamine	C6H13N	NC1CCCCC1	99.104799421	HMDB	HMDB0031404
1-Aminocyclopropane-1-carboxylic acid	C4H7NO2	C1CC1(C(=O)O)N	101.047678464	MoNA	PT200250
1-AMINOCYCLOPROPANECARBOXYLATE	C4H7NO2	O=C(O)C1(N)CC1	101.047678464	MoNA	MoNA024228
1-Aminocyclopropane-1-carboxylate	C4H7NO2	OC(=O)C(N)(C1)C1	101.047678464	MoNA	KO000095
Homoserine lactone	C4H7NO2	NC(C1)C(=O)OC1	101.047678464	MoNA	GLS00152
L-3-Aminodihydro-2(3H)-furanone	C4H7NO2	NC1CCOC1=O	101.047678473	HMDB	HMDB0029387
1-Aminocyclopropanecarboxylic acid	C4H7NO2	NC1(CC1)C(O)=O	101.047678473	HMDB	HMDB0036458
Biguanide	C2H7N5	NC(=N)NC(N)=N	101.070145245	HMDB	HMDB0249203
5-Aminopentanal	C5H11NO	NCCCCC=O	101.084063979	HMDB	HMDB0012815
1-HEXYLAMINE	C6H15N	CCCCCCN	101.12044948	MoNA	JP000235
Hexylamine	C6H15N	CCCCCCN	101.120449485	HMDB	HMDB0032323
2-AMINO-2-THIAZOLINE	C3H6N2S	NC(=N1)SCC1	102.025169192	MoNA	JP011889
Ethylidenethiourea	C3H6N2S	CC=NC(N)=S	102.025169375	HMDB	HMDB0252079
Cycloserine	C3H6N2O2	[H][C@@]1(N)CON=C1O	102.042927446	HMDB	HMDB0014405
4-Aminoisoxazolidin-3-one	C3H6N2O2	NC1CONC1=O	102.042927446	HMDB	HMDB0251514
Guanylurea	C2H6N4O	C(=NC(=O)N)(N)N	102.054160812	MoNA	TUE00363
N-Methyl-N'-nitrosoguanidine	C2H6N4O	CN=C(N)NN=O	102.054160829	HMDB	HMDB0255182
Cadaverine; AIF; CE30; MS2Dec	C5H14N2	NCCCCCN	102.115698448	MoNA	MoNA019543
Cadaverine; AIF; CE10; MS2Dec	C5H14N2	NCCCCCN	102.115698448	MoNA	MoNA019542
Cadaverine; AIF; CE0; MS2Dec	C5H14N2	NCCCCCN	102.115698448	MoNA	MoNA019541
1,5-Diaminopentane	C5H14N2	NCCCCCN	102.115698448	MoNA	KO002546
Cadaverine	C5H14N2	NCCCCCN	102.115698458	HMDB	HMDB0002322
3-Oxoalanine	C3H5NO3	NC(C=O)C(O)=O	103.026943031	HMDB	HMDB0011602
Cyanidin-3-O-(2''-O-beta-xylopyranosyl-beta-glucopyranoside)-5-O-beta-glucopyranoside	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT212250
Delphinidin-3-O-(2''-O-beta-xylopyranosyl-beta-glucopyranoside)	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT212240
Peonidin-3-O-alpha-arabinopyranoside	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT212160
Peonidin-3-O-beta-galactopyranoside	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT212150
Cyanidin-3-O-alpha-arabinopyranoside	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT212140
Kaempferol-3-O-beta-glucopyranosyl-7-O-alpha-rhamnopyranoside	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT211763
Quercetin-3-O-beta-glucopyranosyl-7-O-alpha-rhamnopyranoside	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT211753
Quercetin-3-O-alpha-L-rhamnopyranosyl(1-2)-beta-D-glucopyranoside-7-O-alpha-L-rhamnopyranoside	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT211743
Kaempferol-3-O-alpha-L-rhamnopyranosyl(1-2)-beta-D-glucopyranoside-7-O-alpha-L-rhamnopyranoside	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT211733
Quercetin-3,7-O-alpha-L-dirhamnopyranoside	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT211693
cyanidin-3-O-rhamnoside chloride	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT211280
L-2-Aminobutyric acid	C4H9NO2	CCC(C(=O)O)N	103.063328528	MoNA	PT209760
DL-3-Aminoisobutyric acid	C4H9NO2	CC(CN)C(=O)O	103.063328528	MoNA	PT209720
Quercetin-3-(6''-malonyl)-Glucoside	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT209340
Quercetin-3-Galactoside-6''-Rhamnoside-3'''-Rhamnoside	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT209313
Myricetin-3-Xyloside	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT209300
Myricetin-3-Galactoside	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT209280
Kaempferol-3-Rhamnoside-4''-Rhamnoside-7-Rhamnoside	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT209210
Kaempferol-3-Glucoside-3''-Rhamnoside	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT209200
Kaempferol-3-(2''-p-coumaroyl)Glucoside--7-Glucoside	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT209193
Kaempferol-3-Glucoside-2''-p-coumaroyl	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT209180
Kaempferol-3-Glucoside-2''-Rhamnoside-7-Rhamnoside	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT209173
Kaempferol-3-Galactoside-6''-Rhamnoside-3'''-Rhamnoside	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT209153
Isorhamnetin-3-Glucoside-4'-Glucoside	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT209143
Isorhamnetin-3-Galactoside-6''-Rhamnoside	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT209113
Neodiosmin	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT208580
2',6'-Dihydroxy-4-Methoxychalcone-4'-O-Neohesperidoside	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT208443
DL-beta-Aminobutyric acid	C4H9NO2	CC(CC(=O)O)N	103.063328528	MoNA	PT207620
DL-2-Aminobutyric acid	C4H9NO2	CCC(C(=O)O)N	103.063328528	MoNA	PT207580
Disodium Glycerophoshate 5.5-Hydrate	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT206220
D-beta-homoserine	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT206140
D-beta-homophenylalanine-HCl	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT206110
L-alpha-Phosphatidylinositol	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT205230
Kaempferol-3-O-beta-D-galactoside-7-O-alpha-L-rhamnoside	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT204643
Kaempferol-3-O-beta-D-glucoside-7-O-alpha-L-rhamnoside	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT204630
Kaempferol-7-O-alpha-L-rhamnoside	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT204613
Quercetin-3-O-glucose-6''-acetate	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT204340
(2R)-2-Hydroxy-2-phenethylglucosinolate	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT110820
1-Isothiocyanato-6-(methylsulfonyl)-hexane	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT110660
1-Isothiocyanato-8-(methylsulfinyl)-octane	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT110640
1-Isothiocyanato-9-(methylsulfinyl)-nonane	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT110630
1-Isothiocyanato-6-(methylsulfinyl)-hexane	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT110620
1-Isothiocyanato-7-(methylsulfinyl)-heptane	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	PT110610
gamma-Amino-n-butyric acid	C4H9NO2	C(CC(=O)O)CN	103.063328528	MoNA	PT103890
beta-Aminoisobutyric acid	C4H9NO2	O=C(O)C(N)(C)C	103.063328528	MoNA	PM000908
L-alpha-Amino-n-butyric acid	C4H9NO2	O=C(O)C(N)CC	103.063328528	MoNA	PM000906
2-Aminobutyric acid	C4H9NO2	CCC(N)C(O)=O	103.063328528	MoNA	MT000144
4-AMINOBUTANOIC ACID	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	MoNA038736
2-AMINO-2-METHYLPROPANOIC ACID	C4H9NO2	O=C(O)C(N)(C)C	103.063328528	MoNA	MoNA038590
AMINOISOBUTANOATE	C4H9NO2	O=C(O)C(C)CN	103.063328528	MoNA	MoNA024314
GAMMA-AMINOBUTYRATE	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	MoNA024287
2-AMINOISOBUTYRATE	C4H9NO2	O=C(O)C(N)(C)C	103.063328528	MoNA	MoNA023963
2-Aminobutyric acid; LC-tDDA; CE40	C4H9NO2	O=C(O)C(N)CC	103.063328528	MoNA	MoNA019912
2-Aminobutyric acid; LC-tDDA; CE30	C4H9NO2	O=C(O)C(N)CC	103.063328528	MoNA	MoNA019911
2-Aminobutyric acid; LC-tDDA; CE20	C4H9NO2	O=C(O)C(N)CC	103.063328528	MoNA	MoNA019910
2-Aminobutyric acid; LC-tDDA; CE10	C4H9NO2	O=C(O)C(N)CC	103.063328528	MoNA	MoNA019909
2-Aminobutyric acid; AIF; CE30; MS2Dec	C4H9NO2	O=C(O)C(N)CC	103.063328528	MoNA	MoNA019062
2-Aminobutyric acid; AIF; CE10; MS2Dec	C4H9NO2	O=C(O)C(N)CC	103.063328528	MoNA	MoNA019061
2-Aminobutyric acid; AIF; CE0; MS2Dec	C4H9NO2	O=C(O)C(N)CC	103.063328528	MoNA	MoNA019060
4-Aminobutyric acid	C4H9NO2	C(CC(=O)O)CN	103.063328528	MoNA	MoNA010632
2-AMINO-2-METHYL-PROPANOATE	C4H9NO2	O=C(O)C(N)(C)C	103.063328528	MoNA	MoNA002045
4-AMINOBUTANOATE	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	MoNA001907
γ-Aminobutyric acid	C4H9NO2	O=C(O)CCCN	103.063328528	MoNA	MoNA001696
(S)-3-Aminobutyric acid	C4H9NO2	O=C(O)CC(N)C	103.063328528	MoNA	MoNA001694
D-2-Aminobutyric acid	C4H9NO2	O=C(O)C(N)CC	103.063328528	MoNA	MoNA001693
(S)-2-Aminobutyrate	C4H9NO2	CC[C@H](N)C(O)=O	103.063328528	MoNA	KO002422
D-2-Aminobutyrate	C4H9NO2	CCC(N)C(O)=O	103.063328528	MoNA	KO002232
a-Aminoisobutyrate	C4H9NO2	OC(=O)C(C)(C)N	103.063328528	MoNA	KO002142
GABA	C4H9NO2	NCCCC(O)=O	103.063328528	MoNA	KO002032
(R)-2-Aminobutanoic acid	C4H9NO2	CCC(N)C(O)=O	103.063328528	MoNA	KNA00002
3-Aminoisobutyric acid	C4H9NO2	O=C(O)C(C)CN	103.063328528	MoNA	FiehnHILIC001653
2-AMINO-2-METHYLPROPANOATE	C4H9NO2	CC(C)(C(=O)O)N	103.063328528	MoNA	EMBL-MCF_spec57425
3-AMINOISOBUTANOATE	C4H9NO2	CC(CN)C(=O)O	103.063328528	MoNA	EMBL-MCF_spec103483
1-Amino-4-hydroxybutan-2-one	C4H9NO2	NCC(=O)CCO	103.063328534	HMDB	HMDB0247545
gamma-Aminobutyric acid	C4H9NO2	NCCCC(O)=O	103.063328537	HMDB	HMDB0000112
L-alpha-Aminobutyric acid	C4H9NO2	CC[C@H](N)C(O)=O	103.063328537	HMDB	HMDB0000452
D-alpha-Aminobutyric acid	C4H9NO2	CC[C@@H](N)C(O)=O	103.063328537	HMDB	HMDB0000650
2-Aminoisobutyric acid	C4H9NO2	CC(C)(N)C(O)=O	103.063328537	HMDB	HMDB0001906
(S)-beta-Aminoisobutyric acid	C4H9NO2	C[C@@H](CN)C(O)=O	103.063328537	HMDB	HMDB0002166
(R)-beta-Aminoisobutyric acid	C4H9NO2	C[C@H](CN)C(O)=O	103.063328537	HMDB	HMDB0002299
3-Aminoisobutanoic acid	C4H9NO2	CC(CN)C(O)=O	103.063328537	HMDB	HMDB0003911
3-Aminobutanoic acid	C4H9NO2	CC(N)CC(O)=O	103.063328537	HMDB	HMDB0031654
O-Acetylethanolamine	C4H9NO2	CC(=O)OCCN	103.063328537	HMDB	HMDB0038394
alpha-Aminobutyric acid	C4H9NO2	CCC(N)C(O)=O	103.063328537	HMDB	HMDB0245013
Ethyl glycinate	C4H9NO2	CCOC(=O)CN	103.063328537	HMDB	HMDB0252025
3-ETHOXYPROPYLAMINE	C5H13NO	NCCCOCC	103.099714036	MoNA	JP010324
2-AMINO-1-METHOXYBUTANE	C5H13NO	CCC(N)COC	103.099714036	MoNA	JP009399
5-AMINO-1-PENTANOL	C5H13NO	NCCCCCO	103.099714036	MoNA	JP000288
